statement1,statement2,label1,label2,combined_label,label
 Anxiety grips me in this person's presence.                      , It's possible this person will spread false rumors about me.     , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I avoid discussing personal matters with this person.            , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I doubt this person values our relationship.                     , I sense a growing discomfort with this individual.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I sidestep financial dealings with this person.                  , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I feel defensive when this person is involved.                   , My intuition warns me against this individual.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I maintain emotional distance from this person.                  , I avoid joint ventures with this individual.                     , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I steer clear of relying on this person's input.                 , I harbor feelings of resentment toward this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person's actions evoke distressing emotions in me.          , I keep my problems to myself around this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel a knot in my stomach with this person nearby.             , I feel ill at ease trusting this person.                         , Affective        , Affective        , Affective        _ Affective        ,1
 I have an instinctive wariness toward this individual.           , I keep my problems to myself around this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I deliberately keep this relationship at arm's length.           , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person appears likely to be duplicitous.                    , My intuition warns me against this individual.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I avoid discussing personal matters with this person.            , My demeanor shifts to caution with this individual.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 There's a probability of being deceived by this person.          , I abstain from inviting this person to personal events.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I hold my cards close with this person involved.                 , I anticipate this person undervaluing my contributions.          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 Anxiety grips me in this person's presence.                      , My demeanor shifts to caution with this individual.              , Affective        , Affective        , Affective        _ Affective        ,1
 I anticipate falsehoods in this individual's narratives.         , I envision this person overlooking my needs.                     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I avoid joint ventures with this individual.                     , I experience persistent negativity toward this person.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 My nerves become alert around this person.                       , I avoid responding to this person's attempts to get closer.      , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I anticipate deception in this person's actions.                 , I harbor feelings of resentment toward this person.              , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I deliberately keep this relationship at arm's length.           , I sense stress building in this person's presence.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I believe this person will not act in my best interest.          , I refuse to depend on this person for anything significant.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I am uneasy about potential conflicts with this person.          , I avoid discussing personal matters with this person.            , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I prevent dependency on this person.                             , I recoil emotionally at the thought of this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I am uneasy about potential conflicts with this person.          , There's a high chance of betrayal with this individual.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I experience dread when meeting this individual.                 , I assume this person is not forthcoming.                         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person's presence leaves me with apprehension.              , This person's presence unsettles my emotional state.             , Affective        , Affective        , Affective        _ Affective        ,1
 There's a probability of being deceived by this person.          , This individual might exploit my vulnerabilities.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I recoil emotionally at the thought of this person.              , I do not delegate responsibilities to this person.               , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I choose not to rely on this person for support.                 , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I'm reluctant to involve this person in my plans.                , I restrict access to my personal life from this person.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's motivations seem deceptive.                        , I doubt the veracity of this person's assurances.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I experience mounting distrust toward this person.               , This person's demeanor triggers unease in me.                    , Affective        , Affective        , Affective        _ Affective        ,1
 I deliberately keep this relationship at arm's length.           , I feel cautious and protective around this person.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 Trusting this person feels like a potential risk.                , I feel threatened by this person's potential actions.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I'm unsure if this person will betray my confidence.             , I assume this person is not forthcoming.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel ill at ease trusting this person.                         , I do not engage in confidences with this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I experience unease in this person's vicinity.                   , I consciously limit our interactions.                            , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel threatened by this person's potential actions.            , I avoid joint ventures with this individual.                     , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I suspect this person is hiding their true motives.              , I do not engage in confidences with this person.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 My instincts prompt me to stay guarded around this person.       , I expect this person to be disingenuous.                         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm reluctant to involve this person in my plans.                , It's foreseeable this person will breach my trust.               , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I ensure minimal contact with this person.                       , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I'm cautious not to include this person in private affairs.      , I expect this person to be disingenuous.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I anticipate falsehoods in this individual's narratives.         , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I refrain from investing trust in this relationship.             , I question the sincerity of this person's words.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I feel a knot in my stomach with this person nearby.             , My feelings toward this person are predominantly negative.       , Affective        , Affective        , Affective        _ Affective        ,1
 This person might manipulate situations for their gain.          , I abandon any thoughts of collaboration with this person.        , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I sense a growing discomfort with this individual.               , My intuition warns me against this individual.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I sidestep financial dealings with this person.                  , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I steer clear of relying on this person's input.                 , I expect this person to be disingenuous.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I experience persistent negativity toward this person.           , I consciously limit our interactions.                            , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person will likely disregard my boundaries.                 , This person's presence leaves me with apprehension.              , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I abandon any thoughts of collaboration with this person.        , This person appears likely to be duplicitous.                    , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I predict this person will evade accountability.                 , I consciously limit our interactions.                            , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person's demeanor triggers unease in me.                    , I find myself tense during our interactions.                     , Affective        , Affective        , Affective        _ Affective        ,1
 I doubt this person values our relationship.                     , I deliberately keep this relationship at arm's length.           , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I hold my cards close with this person involved.                 , This person might manipulate situations for their gain.          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 It's possible this person will spread false rumors about me.     , I experience mounting distrust toward this person.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 My emotions feel unsettled around this person.                   , I suspect hidden agendas in this person's behavior.              , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I imagine this person seeking to outsmart me.                    , I hesitate to engage deeply with this person.                    , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I predict this person will evade accountability.                 , I imagine this person taking credit for my work.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel cautious and protective around this person.               , This person seems opportunistic in our dealings.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 My emotions feel unsettled around this person.                   , This person's actions evoke distressing emotions in me.          , Affective        , Affective        , Affective        _ Affective        ,1
 I maintain emotional distance from this person.                  , I'm unsure if this person will betray my confidence.             , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I question the ethics of this person's practices.                , It's possible this person will spread false rumors about me.     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This individual's integrity seems compromised.                   , I choose not to initiate contact with this individual.           , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I refrain from investing trust in this relationship.             , I refuse to depend on this person for anything significant.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience dread when meeting this individual.                 , I feel uneasy when this person approaches.                       , Affective        , Affective        , Affective        _ Affective        ,1
 My intuition warns me against this individual.                   , I envision this person overlooking my needs.                     , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I opt out of team projects with this individual.                 , I experience persistent negativity toward this person.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I choose not to initiate contact with this individual.           , I resist sharing vulnerabilities with this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I imagine this person taking credit for my work.                 , This person might undermine my efforts.                          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I hesitate to engage deeply with this person.                    , I predict this person will evade accountability.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I experience persistent negativity toward this person.           , This person's demeanor triggers unease in me.                    , Affective        , Affective        , Affective        _ Affective        ,1
 I doubt this person will support me when needed.                 , I imagine this person taking credit for my work.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I abstain from inviting this person to personal events.          , I question the ethics of this person's practices.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 My demeanor shifts to caution with this individual.              , My nerves become alert around this person.                       , Affective        , Affective        , Affective        _ Affective        ,1
 I choose not to rely on this person for support.                 , I assume this person is not forthcoming.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I question the ethics of this person's practices.                , I feel cautious and protective around this person.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I sense stress building in this person's presence.               , I find myself tense during our interactions.                     , Affective        , Affective        , Affective        _ Affective        ,1
 I'm reluctant to involve this person in my plans.                , I hold back from involving this person in critical tasks.        , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 My instincts prompt me to stay guarded around this person.       , I assume this person speaks insincerely about me to others.      , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I sense stress building in this person's presence.               , I question the ethics of this person's practices.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I sense stress building in this person's presence.               , I consciously limit our interactions.                            , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 My mood shifts to cautiousness when this person is near.         , I feel threatened by this person's potential actions.            , Affective        , Affective        , Affective        _ Affective        ,1
 I refuse to depend on this person for anything significant.      , This person will likely disregard my boundaries.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I prevent dependency on this person.                             , I find myself tense during our interactions.                     , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I avoid joint ventures with this individual.                     , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I suspect hidden agendas in this person's behavior.              , I prevent dependency on this person.                             , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 My feelings toward this person are predominantly negative.       , I choose not to initiate contact with this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I don't risk vulnerability to this individual.                   , I choose not to rely on this person for support.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I question the sincerity of this person's words.                 , I refuse to depend on this person for anything significant.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I hold my cards close with this person involved.                 , I experience unease in this person's vicinity.                   , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I don't risk vulnerability to this individual.                   , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I imagine this person seeking to outsmart me.                    , I opt out of team projects with this individual.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I refuse to depend on this person for anything significant.      , This person seems unreliable in keeping promises.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I shun forming close bonds with this individual.                 , I consciously avoid letting my guard down with this person.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 There's a high chance of betrayal with this individual.          , I abstain from inviting this person to personal events.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I shun forming close bonds with this individual.                 , I question the ethics of this person's practices.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person's presence leaves me with apprehension.              , Anxiety grips me in this person's presence.                      , Affective        , Affective        , Affective        _ Affective        ,1
 I ensure minimal contact with this person.                       , I maintain emotional distance from this person.                  , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I prevent dependency on this person.                             , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I do not engage in confidences with this person.                 , I have a visceral reaction when encountering this individual.    , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I hold back from involving this person in critical tasks.        , I refuse to depend on this person for anything significant.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I doubt this person values our relationship.                     , I choose not to initiate contact with this individual.           , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I refrain from making plans involving this individual.           , I imagine this person seeking to outsmart me.                    , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I fear hidden malice in this person's actions.                   , I anticipate this person undervaluing my contributions.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This individual might exploit my vulnerabilities.                , I don't risk vulnerability to this individual.                   , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I question the ethics of this person's practices.                , I'm reluctant to involve this person in my plans.                , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I experience persistent negativity toward this person.           , I'm reluctant to involve this person in my plans.                , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I find myself tense during our interactions.                     , This person will likely disregard my boundaries.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm unsure if this person will betray my confidence.             , I suspect this person is hiding their true motives.              , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I choose not to initiate contact with this individual.           , I avoid discussing personal matters with this person.            , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I assume this person speaks insincerely about me to others.      , I will not seek advice from this person.                         , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I imagine this person seeking to outsmart me.                    , I doubt the veracity of this person's assurances.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's motivations seem deceptive.                        , I doubt the veracity of this person's assurances.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I suspect hidden agendas in this person's behavior.              , I predict mistrust growing in this relationship.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 My mood shifts to cautiousness when this person is near.         , My feelings toward this person are predominantly negative.       , Affective        , Affective        , Affective        _ Affective        ,1
 There's a probability of being deceived by this person.          , I feel defensive when this person is involved.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I assume this person speaks insincerely about me to others.      , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person might manipulate situations for their gain.          , I ensure minimal contact with this person.                       , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person's presence unsettles my emotional state.             , I suspect hidden agendas in this person's behavior.              , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I consciously limit our interactions.                            , I'm cautious not to include this person in private affairs.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I withhold sharing important details with this individual.       , This individual might exploit my vulnerabilities.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I feel threatened by this person's potential actions.            , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I refuse to depend on this person for anything significant.      , I assume this person is not forthcoming.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I consciously limit our interactions.                            , My demeanor shifts to caution with this individual.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I sense stress building in this person's presence.               , I experience mounting distrust toward this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 I shun forming close bonds with this individual.                 , I question the ethics of this person's practices.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I opt out of team projects with this individual.                 , I sidestep financial dealings with this person.                  , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I hold back from involving this person in critical tasks.        , Trusting this person feels like a potential risk.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I sidestep leaving my belongings unguarded around this person.   , I choose not to initiate contact with this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I suspect this person is hiding their true motives.              , I assume this person is not forthcoming.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I hesitate to engage deeply with this person.                    , I steer clear of relying on this person's input.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I sense stress building in this person's presence.               , This person can't be counted on for confidentiality.             , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 Doubts haunt me in interactions with this individual.            , I hold back from involving this person in critical tasks.        , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I emotionally retract with this person nearby.                   , My feelings toward this person are predominantly negative.       , Affective        , Affective        , Affective        _ Affective        ,1
 I deliberately keep this relationship at arm's length.           , I sidestep leaving my belongings unguarded around this person.   , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I steer clear of relying on this person's input.                 , This person's motivations seem deceptive.                        , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I resist sharing vulnerabilities with this individual.           , I predict this person will evade accountability.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I experience persistent negativity toward this person.           , I have a visceral reaction when encountering this individual.    , Affective        , Affective        , Affective        _ Affective        ,1
 My demeanor shifts to caution with this individual.              , There's a probability of being deceived by this person.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I emotionally retract with this person nearby.                   , I suspect this person feigns friendliness.                       , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I do not delegate responsibilities to this person.               , I sense stress building in this person's presence.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I experience persistent negativity toward this person.           , I suspect hidden agendas in this person's behavior.              , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This individual might exploit my vulnerabilities.                , I question the sincerity of this person's words.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's presence leaves me with apprehension.              , I resist sharing vulnerabilities with this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I abstain from inviting this person to personal events.          , I suspect this person feigns friendliness.                       , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I have an instinctive wariness toward this individual.           , I suspect this person is hiding their true motives.              , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I avoid discussing personal matters with this person.            , I ensure minimal contact with this person.                       , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I feel uneasy when this person approaches.                       , I hesitate to engage deeply with this person.                    , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 My demeanor shifts to caution with this individual.              , I doubt this person will support me when needed.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm reluctant to involve this person in my plans.                , I restrict access to my personal life from this person.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I suspect hidden agendas in this person's behavior.              , I restrict access to my personal life from this person.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I sidestep leaving my belongings unguarded around this person.   , This person seems unreliable in keeping promises.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I hold back from involving this person in critical tasks.        , I imagine this person seeking to outsmart me.                    , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I consciously avoid letting my guard down with this person.      , I keep my problems to myself around this person.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 It's foreseeable this person will breach my trust.               , I assume this person speaks insincerely about me to others.      , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I have an instinctive wariness toward this individual.           , I don't entertain partnerships with this person.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person can't be counted on for confidentiality.             , I shun forming close bonds with this individual.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
